Comment,Designator,Footprint,LCSC,Quantity
0R,"R1,R10,R11,R12,R15,R16,R17,R18,R19,R2,R21,R22,R23,R24,R25,R26,R27,R3,R8,R9",R_0603_1608Metric,C2441282,20
1k,"R14,R20,R4,R5,R6,R7",R_0603_1608Metric,C2484691,6
DF40HC(3.0)-70DS-0.4V(51),"J1,J2",Hirose_DF40C-70DS-0.4V_2x35_P0.4mm,C597944,2
SFH11-PBPC-D05-ST-BK,J3,PinSocket_2x05_P2.54mm_Vertical,,1
SFH11-PBPC-D05-ST-BK,J5,PinSocket_2x05_P2.54mm_Vertical,,1
SFH11-PBPC-D05-ST-BK,J6,PinSocket_2x05_P2.54mm_Vertical,,1
SFH11-PBPC-D05-ST-BK,J4,PinSocket_2x05_P2.54mm_Vertical,,1
